agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q Action Penalty,0,80,81.0,0.05,5882.0,20.0
Q Action Penalty,0,81,82.0,0.041666666666666664,5906.0,24.0
Q Action Penalty,0,82,83.0,0.038461538461538464,5932.0,26.0
Q Action Penalty,0,83,84.0,0.041666666666666664,5956.0,24.0
Q Action Penalty,0,84,85.0,0.045454545454545456,5978.0,22.0
Q Action Penalty,0,85,86.0,0.047619047619047616,5999.0,21.0
Q Action Penalty,0,86,87.0,0.043478260869565216,6022.0,23.0
Q Action Penalty,0,87,88.0,0.041666666666666664,6046.0,24.0
Q Action Penalty,0,88,89.0,0.05,6066.0,20.0
Q Action Penalty,0,89,90.0,0.03571428571428571,6094.0,28.0
Q Action Penalty,0,90,91.0,0.045454545454545456,6116.0,22.0
Q Action Penalty,0,91,92.0,0.03571428571428571,6144.0,28.0
Q Action Penalty,0,92,93.0,0.045454545454545456,6166.0,22.0
Q Action Penalty,0,93,94.0,0.05,6186.0,20.0
Q Action Penalty,0,94,95.0,0.041666666666666664,6210.0,24.0
Q Action Penalty,0,95,96.0,0.037037037037037035,6237.0,27.0
Q Action Penalty,0,96,97.0,0.05,6257.0,20.0
Q Action Penalty,0,97,98.0,0.05,6277.0,20.0
Q Action Penalty,0,98,99.0,0.05,6297.0,20.0
Q Action Penalty,0,99,100.0,0.045454545454545456,6319.0,22.0
Q Action Penalty,1,0,1.0,0.0049261083743842365,203.0,203.0
Q Action Penalty,1,1,2.0,0.001201923076923077,1035.0,832.0
Q Action Penalty,1,2,3.0,0.0033112582781456954,1337.0,302.0
Q Action Penalty,1,3,4.0,0.0072992700729927005,1474.0,137.0
Q Action Penalty,1,4,5.0,0.004830917874396135,1681.0,207.0
Q Action Penalty,1,5,6.0,0.008771929824561403,1795.0,114.0
Q Action Penalty,1,6,7.0,0.005235602094240838,1986.0,191.0
Q Action Penalty,1,7,8.0,0.0070921985815602835,2127.0,141.0
Q Action Penalty,1,8,9.0,0.007407407407407408,2262.0,135.0
Q Action Penalty,1,9,10.0,0.011904761904761904,2346.0,84.0
Q Action Penalty,1,10,11.0,0.007352941176470588,2482.0,136.0
Q Action Penalty,1,11,12.0,0.007352941176470588,2618.0,136.0
Q Action Penalty,1,12,13.0,0.011494252873563218,2705.0,87.0
Q Action Penalty,1,13,14.0,0.015625,2769.0,64.0
Q Action Penalty,1,14,15.0,0.011235955056179775,2858.0,89.0
Q Action Penalty,1,15,16.0,0.024390243902439025,2899.0,41.0
Q Action Penalty,1,16,17.0,0.009708737864077669,3002.0,103.0
Q Action Penalty,1,17,18.0,0.0125,3082.0,80.0
Q Action Penalty,1,18,19.0,0.014705882352941176,3150.0,68.0
Q Action Penalty,1,19,20.0,0.017857142857142856,3206.0,56.0
Q Action Penalty,1,20,21.0,0.013888888888888888,3278.0,72.0
Q Action Penalty,1,21,22.0,0.010101010101010102,3377.0,99.0
Q Action Penalty,1,22,23.0,0.022222222222222223,3422.0,45.0
Q Action Penalty,1,23,24.0,0.00819672131147541,3544.0,122.0
Q Action Penalty,1,24,25.0,0.00980392156862745,3646.0,102.0
Q Action Penalty,1,25,26.0,0.025,3686.0,40.0
Q Action Penalty,1,26,27.0,0.013888888888888888,3758.0,72.0
Q Action Penalty,1,27,28.0,0.023809523809523808,3800.0,42.0
Q Action Penalty,1,28,29.0,0.009615384615384616,3904.0,104.0
Q Action Penalty,1,29,30.0,0.03125,3936.0,32.0
Q Action Penalty,1,30,31.0,0.022727272727272728,3980.0,44.0
Q Action Penalty,1,31,32.0,0.025,4020.0,40.0
Q Action Penalty,1,32,33.0,0.017241379310344827,4078.0,58.0
Q Action Penalty,1,33,34.0,0.012345679012345678,4159.0,81.0
Q Action Penalty,1,34,35.0,0.02702702702702703,4196.0,37.0
Q Action Penalty,1,35,36.0,0.014925373134328358,4263.0,67.0
Q Action Penalty,1,36,37.0,0.03225806451612903,4294.0,31.0
Q Action Penalty,1,37,38.0,0.023255813953488372,4337.0,43.0
Q Action Penalty,1,38,39.0,0.03333333333333333,4367.0,30.0
Q Action Penalty,1,39,40.0,0.017857142857142856,4423.0,56.0
Q Action Penalty,1,40,41.0,0.0196078431372549,4474.0,51.0
Q Action Penalty,1,41,42.0,0.024390243902439025,4515.0,41.0
Q Action Penalty,1,42,43.0,0.01818181818181818,4570.0,55.0
Q Action Penalty,1,43,44.0,0.025,4610.0,40.0
Q Action Penalty,1,44,45.0,0.038461538461538464,4636.0,26.0
Q Action Penalty,1,45,46.0,0.021739130434782608,4682.0,46.0
Q Action Penalty,1,46,47.0,0.02702702702702703,4719.0,37.0
Q Action Penalty,1,47,48.0,0.023809523809523808,4761.0,42.0
Q Action Penalty,1,48,49.0,0.03333333333333333,4791.0,30.0
Q Action Penalty,1,49,50.0,0.017857142857142856,4847.0,56.0
Q Action Penalty,1,50,51.0,0.02631578947368421,4885.0,38.0
Q Action Penalty,1,51,52.0,0.013333333333333334,4960.0,75.0
Q Action Penalty,1,52,53.0,0.02857142857142857,4995.0,35.0
Q Action Penalty,1,53,54.0,0.01818181818181818,5050.0,55.0
Q Action Penalty,1,54,55.0,0.041666666666666664,5074.0,24.0
Q Action Penalty,1,55,56.0,0.027777777777777776,5110.0,36.0
Q Action Penalty,1,56,57.0,0.043478260869565216,5133.0,23.0
Q Action Penalty,1,57,58.0,0.02857142857142857,5168.0,35.0
Q Action Penalty,1,58,59.0,0.030303030303030304,5201.0,33.0
Q Action Penalty,1,59,60.0,0.02857142857142857,5236.0,35.0
Q Action Penalty,1,60,61.0,0.029411764705882353,5270.0,34.0
Q Action Penalty,1,61,62.0,0.038461538461538464,5296.0,26.0
Q Action Penalty,1,62,63.0,0.023255813953488372,5339.0,43.0
Q Action Penalty,1,63,64.0,0.04,5364.0,25.0
Q Action Penalty,1,64,65.0,0.038461538461538464,5390.0,26.0
Q Action Penalty,1,65,66.0,0.02564102564102564,5429.0,39.0
Q Action Penalty,1,66,67.0,0.05,5449.0,20.0
Q Action Penalty,1,67,68.0,0.021739130434782608,5495.0,46.0
Q Action Penalty,1,68,69.0,0.04,5520.0,25.0
Q Action Penalty,1,69,70.0,0.03333333333333333,5550.0,30.0
Q Action Penalty,1,70,71.0,0.045454545454545456,5572.0,22.0
Q Action Penalty,1,71,72.0,0.05,5592.0,20.0
Q Action Penalty,1,72,73.0,0.047619047619047616,5613.0,21.0
Q Action Penalty,1,73,74.0,0.041666666666666664,5637.0,24.0
Q Action Penalty,1,74,75.0,0.04,5662.0,25.0
Q Action Penalty,1,75,76.0,0.045454545454545456,5684.0,22.0
Q Action Penalty,1,76,77.0,0.034482758620689655,5713.0,29.0
Q Action Penalty,1,77,78.0,0.043478260869565216,5736.0,23.0
Q Action Penalty,1,78,79.0,0.02631578947368421,5774.0,38.0
Q Action Penalty,1,79,80.0,0.04,5799.0,25.0
Q Action Penalty,1,80,81.0,0.04,5824.0,25.0
Q Action Penalty,1,81,82.0,0.04,5849.0,25.0
Q Action Penalty,1,82,83.0,0.038461538461538464,5875.0,26.0
Q Action Penalty,1,83,84.0,0.037037037037037035,5902.0,27.0
Q Action Penalty,1,84,85.0,0.043478260869565216,5925.0,23.0
Q Action Penalty,1,85,86.0,0.043478260869565216,5948.0,23.0
Q Action Penalty,1,86,87.0,0.045454545454545456,5970.0,22.0
Q Action Penalty,1,87,88.0,0.05,5990.0,20.0
Q Action Penalty,1,88,89.0,0.045454545454545456,6012.0,22.0
